1	11874	14409	DDX11L1	1
1	14362	29370	WASH7P	1
1	34611	77690	FAM138F	2
1	69091	70008	OR4F5	1
1	134773	140566	LOC729737	1
1	323892	180755196	LOC100133331	3
1	700245	714068	LOC100288069	1
1	752751	755214	FAM87B	1
1	761586	762902	LINC00115	1
1	762971	794826	LOC643837	9
1	803451	812182	FAM41C	1
1	852953	854817	LOC100130417	1
1	861121	879961	SAMD11	1
1	879583	894679	NOC2L	1
1	895967	901099	KLHL17	1
1	901877	910484	PLEKHN1	2
1	910579	917473	C1orf170	1
1	934342	935552	HES4	2
1	948847	949919	ISG15	1
1	955503	991499	AGRN	1
1	1007126	1009687	RNF223	1
1	1017198	1051736	C1orf159	1
1	1072397	1079434	LOC254099	1
1	1102484	1102578	MIR200B	1
1	1103243	1103332	MIR200A	1
1	1104385	1104467	MIR429	1
1	1109286	1133313	TTLL10	2
1	1138888	1142089	TNFRSF18	3
1	1146706	1149548	TNFRSF4	1
1	1152288	1167447	SDF4	2
1	1167629	1170420	B3GALT6	1
1	1177826	1182102	FAM132A	1
1	1189292	1209234	UBE2J2	4
1	1215816	1227409	SCNN1D	2
1	1227764	1243269	ACAP3	1
1	1243994	1247057	PUSL1	1
1	1246965	1260067	CPSF3L	5
1	1260143	1264276	GLTPD1	1
1	1266726	1269844	TAS1R3	1
1	1270658	1284492	DVL1	1
1	1288071	1293915	MXRA8	1
1	1309110	1310818	AURKAIP1	3
1	1321091	1334718	CCNL2	2
1	1334910	1337426	LOC148413	1
1	1337276	1342693	MRPL20	1
1	1353800	1356824	ANKRD65	3
1	1361508	1363167	TMEM88B	1
1	1370903	1378262	VWA1	2
1	1385069	1405538	ATAD3C	1
1	1407164	1431582	ATAD3B	1
1	1447523	1470067	ATAD3A	3
1	1470158	1475740	TMEM240	1
1	1477053	1510262	SSU72	1
1	1533388	1535476	C1orf233	1
1	1550795	1565990	MIB2	6
1	1567560	1570030	MMP23B	1
1	1568159	1633247	MMP23A	2
1	1571100	1655775	CDK11B	6
1	1592939	1624243	SLC35E2B	1
1	1634170	1655791	CDK11A	2
1	1656277	1677438	SLC35E2	2
1	1682671	1711508	NADK	4
1	1716725	1822526	GNB1	1
1	1846266	1848733	CALML6	1
1	1849029	1850740	TMEM52	1
1	1884752	1935276	KIAA1751	1
1	1950768	1962192	GABRD	1
1	1981909	2116834	PRKCZ	4
